Name                ,    Average [ns],     Median [ns],        Min [ns],        Max [ns]
log(0.1)            ,          1087.2,          1075.1,          1061.9,          1351.1
log(0.2)            ,          1198.9,          1169.1,          1132.8,          1677.0
log(0.3)            ,          1125.3,          1093.7,          1064.9,          1625.9
log(0.4)            ,          1184.0,          1148.4,          1099.8,          2310.0
log(0.5)            ,            12.4,            10.8,            10.1,            16.7
log(0.6)            ,          1160.5,          1131.8,          1101.6,          1403.4
log(0.7)            ,          1185.4,          1154.2,          1122.3,          1798.6
log(0.8)            ,          1148.8,          1123.7,          1074.6,          1371.0
log(0.9)            ,          1080.5,          1061.0,          1026.1,          1234.4
log(1)              ,             0.1,             0.1,             0.0,             0.2
log(2)              ,            44.8,            41.3,            40.2,           157.9
log(10)             ,             1.8,             1.9,             1.3,             2.3
log(100)            ,            13.7,            14.9,            10.2,            21.4
log2(2)             ,           144.9,           118.0,            81.0,           343.5
log10(2)            ,            52.5,            50.3,            49.2,            70.5
exp(2)              ,           346.2,           331.7,           323.2,           531.2
sqrt(2)             ,            19.7,            19.3,            11.6,            29.9
sqrt(9)             ,             0.6,             0.4,             0.4,             2.3
pow(2;3)            ,             0.1,             0.1,             0.1,             0.2
pow(2;0.1)          ,           495.0,           479.9,           463.7,           724.0
root(2;3)           ,            76.6,            84.9,            58.1,            93.0
sin(2)              ,           323.6,           310.4,           303.2,           469.1
sin(100)            ,           959.1,           949.6,           898.8,          1118.5
cos(2)              ,           368.5,           358.7,           347.5,           490.1
cos(100)            ,           924.2,           960.8,           789.1,          1190.5
tan(2)              ,           895.8,          1108.8,           597.0,          1384.7
cot(2)              ,          1319.7,          1364.3,          1102.1,          1764.9
asin(0.1)           ,          1189.4,          1170.3,          1121.8,          1445.9
asin(0.8)           ,         12990.5,         13582.8,         11398.0,         18846.3
acos(0.1)           ,           795.8,           778.6,           759.2,          1020.2
atan(0.1)           ,          1367.1,          1357.6,          1152.9,          1645.5
acot(0.1)           ,          1426.6,          1405.6,          1359.1,          2046.3
sinh(2)             ,           297.6,           288.6,           283.7,           431.9
cosh(2)             ,           346.4,           323.9,           309.0,           542.3
tanh(2)             ,           739.9,           720.4,           701.5,           871.1
asinh(0.1)          ,          1149.6,          1130.9,          1103.3,          1339.2
acosh(2)            ,          1422.1,          1186.2,          1122.9,          2535.5
atanh(0.1)          ,          1003.2,           987.2,           933.5,          1254.5
acoth(2)            ,            88.2,            90.3,            60.4,           136.5
coth(2)             ,           739.5,           718.2,           699.8,           985.2
atan2(2;3)          ,         11861.9,         11869.3,          9870.6,         20848.2
gamma(0.1)          ,         14268.6,         14996.3,          9740.3,         21555.4
BigFloat.add        ,             0.6,             0.5,             0.4,             1.5
BigFloat.subtract   ,             0.6,             0.5,             0.5,             1.8
BigFloat.multiply   ,             0.3,             0.2,             0.2,             2.4
BigFloat.divide     ,             0.8,             0.8,             0.5,             2.9
